clientes,cliente_id,repeticao,operacao,metodo,rota,codigo_status,sucesso,latencia_ms
10,7,3,EXCLUIR,DELETE,/produtos/{id},204,True,7.64
10,8,3,CRIAR,POST,/produtos,201,True,9.75
10,8,3,LISTAR,GET,/produtos,200,True,6.31
10,8,3,CONSULTAR,GET,/produtos/{id},200,True,12.23
10,8,3,ATUALIZAR,PUT,/produtos/{id},200,True,8.79
10,8,3,EXCLUIR,DELETE,/produtos/{id},204,True,7.38
10,1,3,CRIAR,POST,/produtos,201,True,4.28
10,1,3,LISTAR,GET,/produtos,200,True,14.97
10,1,3,CONSULTAR,GET,/produtos/{id},200,True,9.37
10,1,3,ATUALIZAR,PUT,/produtos/{id},200,True,15.83
10,1,3,EXCLUIR,DELETE,/produtos/{id},204,True,7.52
10,5,3,CRIAR,POST,/produtos,201,True,11.89
10,5,3,LISTAR,GET,/produtos,200,True,9.52
10,5,3,CONSULTAR,GET,/produtos/{id},200,True,8.12
